Time,Acc_XL,Acc_YL,Acc_ZL,Abs_left,VelInc_XL,VelInc_YL,VelInc_ZL,Velmag_L,Acc_XR,Acc_YR,Acc_ZR,Abs_Right,VelInc_XR,VelInc_YR,VelInc_ZR,Velmag_R
1.625,19.081299,-0.769381,2.071279,19.20880307,0.190072,-0.008714,0.026155,0.192060884,9.107143,2.913904,2.607469,9.911094023,0.091149,0.028984,0.025977,0.099111135
1.6375,21.042697,-1.586208,3.182137,21.34097347,0.209349,-0.017091,0.037585,0.213381673,9.068747,3.074051,2.750858,9.962890215,0.09078,0.030574,0.027387,0.099628438
1.65,22.139742,-2.409625,5.000501,22.82497489,0.219885,-0.025406,0.055601,0.22822434,9.255406,2.917532,2.602546,10.04727719,0.092634,0.029003,0.025932,0.100472387
1.6625,22.012154,-2.874173,7.232047,23.34734028,0.218215,-0.029996,0.077343,0.233451249,9.215768,3.213441,2.648026,10.11279509,0.092249,0.031954,0.026379,0.101127582
1.675,32.230821,-5.241645,13.971538,35.51766516,0.318875,-0.054032,0.146726,0.355146789,9.456059,3.016023,2.581451,10.25560022,0.094647,0.029983,0.025702,0.102555486
1.6875,26.084003,-3.814305,8.394064,27.66558233,0.259876,-0.039315,0.086338,0.27665042,9.356872,3.188985,2.709766,10.2500493,0.093665,0.03171,0.026975,0.102500278
1.7,3.865403,-4.343913,18.951941,19.82389942,0.038134,-0.045402,0.18916,0.198234833,9.578815,2.832176,2.653825,10.33526511,0.095885,0.028137,0.026383,0.103352246
1.7125,18.544309,2.065268,21.093322,28.16176417,0.18145,0.01953,0.21446,0.281600098,9.866929,2.80245,2.64048,10.59160746,0.098767,0.027819,0.026255,0.105915731
1.725,17.960487,-4.45428,12.923183,22.57051976,0.178482,-0.044955,0.130633,0.225702807,10.342004,2.785401,2.434678,10.98376813,0.103533,0.027609,0.024145,0.109837698
1.7375,13.559835,1.187725,21.360921,25.32920768,0.134585,0.010033,0.21434,0.2532892,11.063085,3.030371,2.424833,11.72411247,0.110763,0.03003,0.023982,0.11724069
1.75,17.819523,4.431639,20.948231,27.8568341,0.177245,0.043174,0.210522,0.278566503,12.27918,3.37764,2.570259,12.9920339,0.122958,0.03347,0.025306,0.129920377
1.7625,17.48811,1.227888,23.772075,29.53731962,0.17448,0.011007,0.238076,0.295371979,11.630191,3.924559,2.552304,12.53705555,0.11653,0.038906,0.024993,0.125369724
1.775,27.078809,1.9712,25.74663,37.41706138,0.271867,0.018627,0.256405,0.374168618,13.123942,6.888356,2.295995,14.99862977,0.131562,0.068506,0.022228,0.149985719
1.7875,17.377416,1.323986,24.625685,30.16872366,0.17757,0.011036,0.243626,0.301672879,11.719736,6.998349,2.962472,13.96801135,0.117569,0.069767,0.028641,0.139678957
1.8,21.038566,4.565266,26.04813,33.79301687,0.214864,0.044471,0.256985,0.337913448,11.580925,5.865644,2.789126,13.27790749,0.116116,0.058507,0.026907,0.132777939
1.8125,6.47853,3.847805,10.516584,12.9373681,0.0673,0.038217,0.103657,0.129362293,11.626485,6.414414,2.833884,13.57758296,0.116591,0.064017,0.027256,0.135773809
1.825,8.376088,3.336533,-4.902593,10.26288072,0.083255,0.032776,-0.050263,0.102625681,12.161697,6.558722,2.647293,14.06882612,0.121924,0.065486,0.025277,0.140686903
1.8375,14.466521,2.659186,-9.125635,17.30978666,0.142469,0.026113,-0.094752,0.173081617,12.818011,6.906355,2.207501,14.72658161,0.128457,0.068973,0.02069,0.147263545
